시도교육청코드,시도교육청명,행정구역명,학원교습소명,학원지정번호,학원명,개설일자,등록일자,등록상태명,휴원시작일자,휴원종료일자,정원합계,일시수용능력인원합계,분야명,교습계열명,교습과정목록명,교습과정명,인당수강료내용,수강료공개여부,기숙사학원여부,도로명우편번호,도로명주소,도로명상세주소,적재일시
B10,서울특별시교육청,광진구,교습소,3000027006,넘버원해법중국어교습소,20160902,20160902,개원,,,6,6,국제화,외국어,중국어,실용외국어(유아/초·중·고),중국어:135000,Y,N,05039,서울특별시 광진구 자양로 148,/  2층 (구의동),20200830005523
B10,서울특별시교육청,광진구,교습소,3000023719,노꿈아주산교습소,20150710,20150715,개원,,,21,7,입시.검정 및 보습,보통교과,주산/암산1,보습,주산/암산1:150000/ 주산/암산2:110000/ 주산/암산3:85000,Y,N,143754,서울특별시 광진구 아차산로70길 62,/  종합상가 102호 (광장동/ 광장현대3단지아파트),20200830005523
B10,서울특별시교육청,광진구,교습소,3000025510,노리미술교습소,20160302,20160302,개원,,,20,5,예능(대),예능(중),미술 초등,미술,미술 초등:50000/ 미술 초등:100000/ 미술 초등:130000/ 미술 초등:150000,Y,N,04936,서울특별시 광진구 긴고랑로29길 39,/  1호 (중곡동),20200830005523
B10,서울특별시교육청,광진구,교습소,3000031388,노리터미술교습소,20180320,20180320,개원,,,5,9,예능(대),예능(중),,미술,,Y,N,05004,서울특별시 광진구 군자로 86-1,/ 2층 (군자동),20200830005523
B10,서울특별시교육청,광진구,교습소,3000015192,논리&표현논술교습소,20120808,20120808,개원,,,35,5,입시.검정 및 보습,보통교과,초등논술,보습·논술,,Y,N,143891,서울특별시 광진구 천호대로113길 5,/ 2층 201-1호 (중곡동/한울림피아노),20200830005523
B10,서울특별시교육청,광진구,교습소,3000026772,뉴런(NewLearn)과학교습소,20160804,20160804,개원,,,63,9,입시.검정 및 보습,보통교과,과학(초),보습,과학(초):190000/ 과학(중):230000/ 과학(고):300000/ 초등이론:120000/ 초등실험:150000/ 중등이론:180000/ 고등이론:250000,Y,N,05095,서울특별시 광진구 뚝섬로36길 61,/  2층 (자양동),20200830005523
B10,서울특별시교육청,광진구,교습소,24713,뉴튼의어깨과학교습소,20090723,20090722,개원,,,12,4,입시.검정 및 보습,보통교과,고등 단과/과학,보습,,Y,N,143862,서울특별시 광진구 뚝섬로 552,삼희빌딩204호 (자양동),20200830005523
B10,서울특별시교육청,광진구,교습소,2000030214,뉴프라임피아노교습소,20010730,20010730,개원,,,13,2,예능(대),예능(중),기초1 피아노,음악,기초1 피아노:150000/ 기초2 피아노:160000/ 중급 피아노:170000/ 고급 피아노:180000/ 입시반1 집중반:250000/ 입시반2:300000,N,N,143761,서울특별시 광진구 광나루로56길 29,현대프라임상가 202호(구의동),20200830005523
B10,서울특별시교육청,광진구,교습소,3000015191,늘봄미술교습소,20120821,20120821,개원,,,21,7,예능(대),예능(중),미술초등,미술,미술초등:120000/ 미술초등:110000/ 미술초등:90000,Y,N,143886,서울특별시 광진구 용마산로7길 30,/ 2층 (중곡동/연세독서실),20200830005523
B10,서울특별시교육청,광진구,교습소,3000025014,능동e해법수학교습소,20151229,20151229,개원,,,42,7,입시.검정 및 보습,보통교과,,보습,,Y,N,04986,서울특별시 광진구 천호대로116길 14,/  1층 (능동),20200830005523
B10,서울특별시교육청,광진구,교습소,22607,다금바이올린교습소,20081208,20081208,개원,,,4,4,예능(대),예능(중),일반 바이올린,음악,,N,N,143814,서울특별시 광진구 광나루로 635,현대3단지아파트상가 102호일부(광장동),20200830005523
B10,서울특별시교육청,광진구,교습소,2000032029,다빈치미술교습소,20010924,20010924,개원,,,8,4,예능(대),예능(중),,미술,초등 미술:80000/ 초등 미술:70000/ 초등미술:100000/ 초등미술:80000,N,,143852,서울특별시 광진구 아차산로44길 35,/ 1층일부 (자양동),20200830005523
B10,서울특별시교육청,광진구,교습소,3000017577,다빈치키드미술교습소,20130628,20130628,개원,,,54,9,예능(대),예능(중),초등준비미술1,미술,,Y,N,143861,서울특별시 광진구 뚝섬로37길 11,/ 201호 (자양동/자양우성3차아파트),20200830005523
B10,서울특별시교육청,광진구,교습소,3000031082,닥터엠고등수학교습소,20180212,20180212,개원,,,12,3,입시.검정 및 보습,보통교과,,보습,,Y,N,04971,서울특별시 광진구 아차산로 552,/ 310호 (광장동/ 광장극동아파트),20200830005523
B10,서울특별시교육청,광진구,교습소,3000011589,닥터엠수학교습소,20110725,20110725,개원,,,24,4,입시.검정 및 보습,보통교과,초등 수학,보습,초등 수학:170000/ 초등 수학:200000/ 중등 수학:200000/ 중등 수학:250000/ 고등 수학:250000/ 고등 수학:300000,,,143751,서울특별시 광진구 아차산로 552,극동아파트 상가동309호 (광장동),20200830005523
B10,서울특별시교육청,광진구,교습소,3000034455,달그린미술창작소미술교습소,20190517,20190517,개원,,,24,6,예능(대),예능(중),,미술,미술1:40000/ 미술2:80000/ 미술3:120000/ 미술4:170000/ 11:10,Y,N,04911,서울특별시 광진구 동일로72길 46,/ 1층 일부 (중곡동),20200830005523
